Наименование	Фото	Состав	Производство	Цена	Тип шампуня	 кожи приоритетный	 альтертанивный
Ollin Professional  Basic line Argan Oil Шампунь для сияния и блеска с аргановым маслом		Aqua, Sodium Laureth Sulfate, Cocamidopropyl Betaine, Laureth-2, Sodium chloride, Olive Oil Peg-7 Esters, Panthenol, Argania Spinosa Kernel Oil, Polyquaternium-10, Tetrasodium EDTA, Citric Acid, BHT, Amodimethicone, C11-15 Pareth-7, Laureth-9, Glycerin, Trideceth-12, Parfum, Magnesium nitrate, Magnesium chloride, Methylchloroisothiazolinone, Methylisothiazolinone	РФ/СНГ	Высокая	Щадящий шампунь		Сухой 
Ollin Professional  Basic line Burdock Extract Восстанавливающий шампунь с экстрактом репейника		Aqua, Sodium Laureth Sulfate, Cocamidopropyl Betaine, Laureth-2, Sodium chloride, Olive Oil Peg-7 Esters, Propylene Glycol, Polyquaternium-10, Sodium PCA, Arctium lappa Root Extract, Curcuma Longa Extract, Tetrasodium EDTA, Citric Acid, Avena Sativa Kernel Oil, Amodimethicone, C11-15 Pareth-7, Laureth-9, Glycerin, Trideceth-12, Parfum, Magnesium nitrate, Magnesium chloride, Methylchloroisothiazolinone, Methylisothiazolinone	РФ/СНГ	Высокая	Щадящий шампунь		Сухой 
Ollin Professional  BioNika Nutrition and Shine Shampoo Шампунь для увлажнения и питания волос питание и блеск		Aqua, Sodium Laureth Sulfate, Cocamidopropyl Betaine, Laureth-2, Olive Oil PEG-7 Esters, Glycol Distearate, Laureth-4, Propylene Glycol, Hydrolyzed Silk, Glycerin, Silicone Quaternium-16/Glycidoxy Dimethicone Crosspolymer, Undeceth-11, Undeceth-5, Na-PCA, Hydrolyzed Elastin, Desamido Collagen, Parfum, Polyquaternium-10, Citric Acid, EDTA, Linalool, Hexyl Cinnamal, Methylchlorisothiazolinone, Methylisothiazolinone	РФ/СНГ	Высокая	Щадящий шампунь		Сухой 
Ollin Professional  BioNika Shampoo hair density Шампунь для ежедневного ухода плотность волос		Aqua, Sodium Laureth Sulfate, Cocamidopropyl Betaine, Olive Oil Peg-7 Esters, Undeceth-11, Butyloctanol, Undeceth-5, Laureth-2, Propylene Glycol, Panthenol, Glycerin, Glycine, Sorbitol, Hydrolyzed Soy Protein, Glycol Distearate, Silicone Quaternium-16, Polyquaternium-10, Parfum, Sodium Chloride, Citric Acid, Laureth-4, Tetrasodium EDTA, Sodium PCA, Hydrolyzed Elastine, Desamido Collagen, Copper Tripeptide-1, Hexyl Cinnamal, Limonene, Magnesium nitrate, Magnesium chloride,  Methylchloroisothiazolinone, Methylisothiazolinone.	РФ/СНГ	Высокая	Щадящий шампунь		Сухой 
Schauma Свежесть хлопка Шампунь с экстрактом хлопка		Aqua, sodium laureth sulfate, cocamidopropyl betaine, sodium chloride, hydrolyzed keratin, glycine, panthenol, simmondsia chinensis seed oil, gossypium herbaceum seed oil, aloe barbadensis leaf extract, disodium cocoamphodiacetate, peg-7 glyceryl cocoate, citric acid, sodium benzoate, cocamide mea, glycol distearate, parfum, laureth-4, propylene glycol, hydrogenated castor oil, peg-120, methyl glucose dioleate, peg-40 hydrogenated castor oil, polyquaternium-10, peg-10 olive glycerides, benzyl alcohol, hexyl cinnamal, linalool, glycerin, citronellol, limonene, cl 42090	ЕС РФ/СНГ	Средняя	Щадящий шампунь		Сухой 
SYNERGETIC  "Интенсивное увлажнение и блеск" Натуральный шампунь		Aqua; Lauryl Glucoside; Sodium Lauroyl Methyl Isethionate; Cocamidopropyl Betaine; Candida Bombicola/Glucose/Methyl Rapeseedate Ferment; Lauroyl/Myristoyl Methyl Glucamide; Sweet Almond Oil Polyglyceryl-4 Esters (масло миндаля); Argan Oil Polyglyceryl-4 Esters (масло арганы); Aloe Barbadensis Leaf Juice (сок алоэ вера); Melissa officinalis Flower/Leaf/Stem Extract (экстракт мелиссы); Glycerin; Coco Glucoside; Glyceryl Oleate; Sodium Cocoyl Isethionate; Triticum Vulgare (Wheat) Protein (протеины пшеницы); Hyaluronic Acid (гиалуроновая кислота); Hydroxypropylgluconamide; Hydroxypropylammonium Gluconate; Glycol Distearate; Glyceryl Stearate; Guar Hydroxypropyltrimonium Chloride; Sodium Benzoate; Potassium Sorbate; Parfum; Tetrasodium Glutamate Diacetate; Sodium Citrate. ECOCERT approval.	РФ/СНГ	Средняя	Щадящий шампунь		Сухой 
SYNERGETIC  "Максимальное питание и восстановление" Натуральный шампунь для окрашенных волос 		Aqua; Lauryl Glucoside; Sodium Lauroyl Methyl Isethionate; Cocamidopropyl Betaine; Candida Bombicola/Glucose/Methyl Rapeseedate Ferment; Lauroyl/Myristoyl Methyl Glucamide; Inulin (растительный пребиотик); Macadamia Seed Oil Polyglyceryl-4 Esters (масло макадамии); Pumpkin Seed Oil Polyglyceryl-4 Esters (масло тыквенных семечек); Olive Oil Polyglyceryl-4 Esters (масло оливы); Cymbopogon Citratus Extract (экстракт лемонграсса); Plumeria Alba Flower Extract (экстракт франжипани); Glycerin; Coco Glucoside; Glyceryl Oleate; Sodium Cocoyl Isethionate; Triticum Vulgare (Wheat) Protein; Saccharide Isomerate; Hydroxypropylgluconamide; Hydroxypropylammonium Gluconate; Glycol Distearate; Glyceryl Stearate; Persea Gratissima Oil (масло авокадо); Guar Hydroxypropyltrimonium Chloride; Sodium Chloride; Sodium Benzoate; Parfum; Tetrasodium Glutamate Diacetate; Sodium Citrate. ECOCERT approval	РФ/СНГ	Средняя	Щадящий шампунь		Сухой 
SYNERGETIC  "Экстрамягкий для ежедневного ухода 2в1" Натуральный шампунь		Aqua; Lauryl Glucoside; Sodium Lauroyl Methyl Isethionate; Cocamidopropyl Betaine; Betain (растительный увлажнитель); Candida Bombicola/Glucose/Methyl Rapeseedate Ferment; Lauroyl/Myristoyl Methyl Glucamide; Sweet Almond Oil Polyglyceryl-4 Esters (масло миндаля); Olive Oil Polyglyceryl-4 Ester (масло оливы); Citrus Aurantium Bergamia Fruit Extract (экстракт бергамота); Melissa officinalis Flower/Leaf/Stem Extract (экстракт мелиссы); Vitis Vinifera (Grape) Seed Extract (экстракт виноградной косточки); Glycerin; Coco Glucoside; Glyceryl Oleate; Sodium Cocoyl Isethionate; Triticum Vulgare (Wheat) Protein (протеины пшеницы); Saccharide Isomerate; Hydroxypropylgluconamide; Hydroxypropylammonium Gluconate; Glycol Distearate; Glyceryl Stearate; Guar Hydroxypropyltrimonium Chloride; Sodium Benzoate; Potassium Sorbate; Parfum; Tetrasodium Glutamate Diacetate; Sodium Citrate. ECOCERT approval	РФ/СНГ	Средняя	Щадящий шампунь		Сухой 
Timotei  Шампунь Интенсивное восстановление  Авокадо макадамия фисташка		Aqua, sodium laureth sulfate, cocamidopropyl betaine, sodium chloride, dimethiconol, persea gratissima oil, tea-dodecylbenzenesulfonate, carbomer, sodium hydroxide, citric acid, tea-sulfate, guar hydroxypropyltrimonium chloride, triethanolamine, propanediol, tocopheryl acetate, panthenol, sodium ascorbyl phosphate, macadamia ternifolia seed oil, pistacia vera seed extract, parfum, sodium benzoate, methylchloroisothiazolinone, methylisothiazolinone, mica, pantolactone, glycerin, dmdm hydantoin, disodium edta, ppg-12, butylphenyl methylpropional, hexyl cinnamal, cl 42051, cl47005, cl 77891.	ЕС РФ/СНГ	Средняя	Щадящий шампунь		Сухой 
TRESemme Botanique detox Очищение без силиконов с кокосом и алоэ вера		 Aqua, Sodium Laureth Sulfate, Cocamidopropyl Betaine, Sodium Chloride, Aloe Barbadensis Leaf Juice, Cocos Nucifera (Coconut) Fruit Extract, Cocos Nucifera (Coconut) Oil, Glycerin, Nonfat Dry Milk, Polyquaternium-10, Sodium Sulfite, 1,2-Hexanediol, Citric Acid, Decylene Glycol, Disodium EDTA, Isopropyl Alcohol, Parfum, Pentylene Glycol, PPG-9, Propylene Glycol, Sodium Acetate, Sodium Benzoate, Sodium Hydroxide, Coumarin, Linalool	РФ/СНГ	Средняя	Щадящий шампунь		Сухой 
TRESemme  Filler Effect  Бессульфатный шампунь сияние и гладкость		Aqua, Cocamidopropyl Betaine, Sodium Methyl Cocoyl Taurate, Sodium Chloride, Glycerin, Hydrolyzed Keratin, Panthenol, Serine, Carbomer, Citric acid, Coconut Acid, Disodium EDTA, Parfum, Glycol Distearate, Guar Hydroxypropyltrimonium Chloride, Lactic Acid, Laureth-4, PPG-9, Sodium Benzoate, Stearamidopropyl Dimethylamine, Benzyl Salicylate, Hexyl Cinnamal, Limonene, Linalool.	РФ/СНГ	Высокая	Щадящий шампунь		Сухой 
Aravia Professional Volume Pure Shampoo Шампунь для придания объёма тонким и склонным к жирности волосам, бессульфатный		Aqua, Sodium laureth-5 carboxylate, Potassium laureth-4 carboxylate, Cocamidopropyl Betaine, Disodium Cocoamphodiacetate, PEG-7 Glyceryl Cocoate,PEG-200 Glyceryl Palmate, Cocamidopropyl Hydroxysultaine, Glycereth-2 Cocoate, Hydrolyzed Collagen, Hydrolizated keratin, Rosmarinus Officinalis (Rosemary) Water, Guar Hydroxypropyltrimonium Chloride, Perfume, Methylchloroisothiazolinone, Methylisothiazolinone.  	РФ/СНГ	Средняя	Мягкий шампунь	Сухой 	Нормальный 
BAREX SATIN SLEEK JOC CARE Разглаживающий шампунь с льняным семенем и крылатой водорослью профессиональный для вьющихся, непослушных волос		Aqua (water), sodium coceth sulfate, coconut oil polyglyceryl-6 esters, sodium cocoamphoacetate, sodium chloride, linum usitatissimum seed extract/linum usitatissimum (linseed) seed extract, hydroxypropyl guar hydroxypropyltrimonium chloride, potassium lactate, coco-glucoside, peg-40 hydrogenated castor oil, glycerin, maris aqua (sea water), alaria esculenta extract, hydrolyzed algae extract, polyquaternium-7, phenoxyethanol, citric acid, tetrasodium edta, decylene glycol, caprylyl glycol, algin, benzyl salicylate, limonene, glyceryl oleate, styrene/acrylates copolymer, linalool, parfum (fragrance)	ЕС	Высокая	Мягкий шампунь	Сухой 	Нормальный 
DSD  Dixidox Delux opium Shampoo Шампунь Опиум №7.1		Вода, лауретсульфат натрия, кокамидопропилбетаин, двунатриевый лаурет сульфосукцинат, каприлил\каприл глюкозид, хлорид натрия, токоферилацетат, экстракт плодов карликовой пальмы, плацентарный протеин, аденозин, экстракт лепестков мака, лецитин, магния хлорид, никотинамид, кофеин, гидроксипропил гуар гидроксипропилтримониум хлорид, пропиленгликоль, сульфат натрия, янтарнокислый натрий, глицерин, нитрат магния, метилизотиазолинон, сорбат калия, хлорфенезин, лимонная кислота, бутилен гликоль, ароматизатор (душистое вещество)	ЕС	Высокая	Мягкий шампунь	Сухой 	Нормальный 
Estel Curex Volume  Живой объем шампунь 		Aqua, Sodium Laureth Sulfate, Cocamide DEA, Glycol Distearate, Cocamidopropyl Betaine, Decyl Glucoside, Sodium Chloride, Hexyldecanol, Hexyldecyl Laurate, Bis-PEG-18 Methyl Ether Dimethylsilane, Parfum, Limonene, Hexyl Cinnamal, Linalool, Polyquaternium-10, Glycerin, Propylene Glycol, Sorbitol, Panthenol, Carboxymethyl Chitin, Sodium Hyaluronate, Betula Alba Bud Extract, Citric Acid, Methylchloroisothiazolinone, Methylisothiazolinone	РФ/СНГ	Средняя	Мягкий шампунь	Сухой 	Нормальный 
Garnier Botanic Therapy Green Tea  Purifying Shampoo		Aqua / Water • Ammonium Lauryl Sulfate• Sodium Chloride • Cocamidopropyl Betaine • Camellia Sinensis Leaf Extract • Aloe Barbadensis Leaf Juice • Lamium Album Flower/leaf/stem Extract • Lippia Citriodora Leaf Extract • Citrus Limon Fruit Extract / Lemon Fruit Extract • Glycerin • Triethyl Citrate • Sodium Hydroxide • Alcohol • Guar Hydroxypropyltrimonium Chloride • Citric Acid • Maltodextrin • Potassium Sorbate • Sodium Benzoate • Benzoic Acid • Linalool • Limonene • Citral • Parfum / Fragrance	ЕС РФ/СНГ	Средняя	Мягкий шампунь	Сухой 	Нормальный 
Hask Biotin Boost Thickening Шампунь с биотином		Aqua/Water/Eau, Sodium C14-16 olefin sulfonate, Cocamide MEA, Cocamidopropyl betaine, Glycerin, Sodium chloride, Glycol distearate, Biotin, Hydrolyzed collagen, Coffea arabica (coffee) seed oil, Polyquaternium-68, Polyquaternium-7, Panthenol, Zea mays (corn) starch, PEG-150 distearate, Guar hydroxypropyltrimonium chloride, Citric acid, Hydroxypropyl methylcellulose, Magnesium chloride, Methylchloroisothiazolinone, Methylisothiazolinone, Phenoxyethanol, Magnesium nitrate, Ethylhexylglycerin, Sodium hydroxide, Sodium benzoate, Parfum/Fragrance, Eugenol, Linalool	США	Средняя	Мягкий шампунь	Сухой 	Нормальный 
L'OREAL  Elseve  Преображение Длина мечты 		Aqua / Water, Sodium Laureth Sulfate, Sodium Chloride, Cocamidopropyl Betaine, Dimethicone, Parfum / Fragrance, Ci 77891 / Titanium Dioxide, Guar Hydroxypropyl- Trimonium Chloride, Niacinamide, Ricinus Communis Seed Oil / Castor Seed Oil, Mica, Coco-betaine, Sodium Benzoate, Sodium Hydroxide, Hydroxycitronellal, Hydrolyzed Wheat Protein, Hydrolyzed Corn Protein, Hydrolyzed Soy Protein, Hydroxypropyltrimonium Hydrolyzed Wheat Protein, Phenoxyethanol, Steareth-6, Acetic Acid, Peg-100 Stearate, Trideceth-10, Trideceth-3, Salicylic Acid, Limonene, Fumaric Acid, Panthenol, Benzyl Salicylate, Linalool, Benzyl Alcohol, Amodimethicone, Alpha-isomethyl Ionone, Carbomer, Geraniol, Citric Acid, Citronellol, Coumarin, Hexylene Glycol, Hexyl Cinnamal, Glycerin, Glycol Distearate	РФ/СНГ	Средняя	Мягкий шампунь	Сухой 	Нормальный 
L'OREAL  Elseve  Dream Long * зарубежная версия		Aqua / Water • Sodium Laureth Sulfate • Cocamidopropyl Betaine • Dimethicone • Sodium Chloride • Parfum / Fragrance • Ci 77891 / Titanium Dioxide • Guar Hydroxypropyltrimonium Chloride • Niacinamide • Ricinus Communis Seed Oil / Castor Seed Oil • Mica • Coco-betaine • Sodium Benzoate • Sodium Hydroxide • Hydrolyzed Wheat Protein • Hydroxycitronellal • Hydrolyzed Corn Protein • Hydrolyzed Soy Protein • Hydroxypropyltrimonium Hydrolyzed Peg-100 Stearate • Trideceth-10 • Trideceth-3 • Salicylic Acid • Limonene • Fumaric Acid • Panthenol • Benzyl Salicylate • Linalool • Benzyl Alcohol • Amodimethicone • Alpha-isomethyl Ionone • Carbomer • Geraniol • Citric Acid • Citronellol • Coumarin • Hexylene Glycol • Hexyl Cinnamal • Glycerin • Glycol Distearate	EC	Средняя	Мягкий шампунь	Сухой 	Нормальный 
Keune Care Satin Oil  Шелковый уход шампунь для волос		Aqua (Water), Sodium Laureth Sulfate, Cocamidopropyl Betaine, Decyl Glucoside, Peg-200 Hydrogenated Glyceryl Palmate, Glycol Distearate, Peg-40 Hydrogenated Castor Oil, Glyceryl Laurate, Sodium Chloride, Cetrimonium Chloride, Sodium Benzoate, Citric Acid, Peg-7 Glyceryl Cocoate, Cocamide Mea, Propylene Glycol, Methoxy Peg/Ppg-7/3 Aminopropyl Dimethicone, Polyquaternium-10, Panthenol, Laureth-2, Polyquaternium-7, Parfum (Fragrance), Laureth-10, Cocos Nucifera (Coconut) Oil, Formic Acid, Hydrolyzed Wheat Protein, Passiflora Incarnata (Seed) Oil, Saccharomyces/Magnesium Ferment, Gardenia Tahitensis Flower Extract, Adansonia Digitata (Seed) Oil, Saccharomyces/Iron Ferment, Ci 19140 (Yellow 5), Saccharomyces/Zinc Ferment, Tocopherol, Saccharomyces/Copper Ferment, Saccharomyces/Silicon Ferment, Ci 14700 (Red 4).	EC	Высокая	Мягкий шампунь	Сухой 	Нормальный 
Nivea Volume & Strength Shampoo 		Aqua, Sodium laureth sulfate, Cocamidopropyl betaine, Decyl glucoside, Bambusa vulgaris shoot extract, Guar hydroxypropyltrimonium chloride, Dicaprylyl ether, Propylene glycol, Glyceryl oleate, Butylene glycol, Citric acid, Sodium chloride, Sodium benzoate, Benzoic acid, Benzyl alcohol, Citronellol, Alpha-isomethyl ionone, Parfum	ЕС	Средняя	Мягкий шампунь	Сухой 	Нормальный 
Ollin Professional  BioNika Energy Shampoo anti hair loss Шампунь против выпадения волос энергетический		Aqua, Sodium Laureth Sulfate, Cocamidopropyl Betaine, Lauryl Glucoside, Polyquaternium-7, Glycol Distearate, Parfum, Dicaprylyl Ether, Butylene Glycol, Lauryl Alcohol, Silicone Quaternium-18, Laureth-4, Sodium PCA, Citric Acid, Sodium chloride, Tetrasodium EDTA, Trideceth-6, Trideceth-12, Creatine, Olea Europaea Leaf Extract, PPG-26-Buteth-26, PEG-40 Hydrogenated Castor Oil, Apigenin, Oleanolic Acid, Biotinoyl Tripeptide-1, Limonene, Amyl Cinnamal, Benzyl Salicylate, Linalool, Coumarin, Magnesium nitrate, Magnesium chloride, Methylchloroisothiazolinone, Methylisothiazolinone	РФ/СНГ	Высокая	Мягкий шампунь	Сухой 	Нормальный 
Ollin Professional  BioNika Shampoo Reconstructor  Шампунь для восстановления волос реконструктор		Aqua, Sodium Laureth Sulfate, Cocamidopropyl Betaine, Lauryl Glucoside, Polyquaternium-7, Glycol Distearate, Laureth-4, Glycerin, Parfum, Dicaprylyl Ether, Lauryl Alcohol, Silicone Quaternium-18, Sodium PCA, Behenyl / Stearyl Aminopropanediol Esters, Tetrasodium EDTA, Citric Acid, Sodium chloride, Trideceth-6, Trideceth-12, Creatine, PEG-8, PEG-8/SMDI Copolymer, Palmitoyl Myristyl Serinate, Sodium polyacrylate, Magnesium nitrate, Magnesium chloride, Methylchloroisothiazolinone, Methylisothiazolinone	РФ/СНГ	Высокая	Мягкий шампунь	Сухой 	Нормальный 
Shamtu Питание и сила C экстрактом фруктов 		Aqua (Water, Eau),Sodium Laureth Sulfate,Cocamidopropyl Betaine,Sodium Chloride,Citrus Nobilis (Mandarin Orange) Fruit Extract,Ficus Carica (Fig) Fruit Extract,Actinidia Chinensis (Kiwi) Fruit Extract,Simmondsia Chinensis (Jojoba) Seed Oil,Disodium Cocoamphodiacetate,Glycol Distearate,PEG-7 Glyceryl Cocoate,Sodium Benzoate,Citric Acid,Cocamide MEA,Parfum (Fragrance),Laureth-4,Polyquaternium-10,Hydrogenated Castor Oil,Propylene Glycol,PEG-40 Hydrogenated Castor Oil,Sodium Hydroxide,Linalool,Hexyl Cinnamal,Benzyl Salicylate,Citronellol,Limonene,Glycerin,Benzyl Alcohol,Formic Acid,Potassium Sorbate,Sodium Metabisulfite	РФ/СНГ	Средняя	Мягкий шампунь	Сухой 	Нормальный 
